,x,y,x2,y2,width,height,letter
7,1.15,-0.091,1.18,-0.083,0.03,0.00799999999999999,
8,1.11,-0.091,1.147,-0.08,0.0369999999999999,0.011,
9,1.07,-0.09,1.11,-0.076,0.04,0.014,ftlag
10,1.05,-0.087,1.074,-0.076,0.024,0.011,do
11,1.037,-0.088,1.05,-0.076,0.0130000000000001,0.012,mt
12,1.016,-0.087,1.039,-0.074,0.0229999999999999,0.013,tnc
13,0.98,-0.087,1.01,-0.073,0.03,0.014,
14,0.943,-0.087,0.978,-0.072,0.035,0.015,
15,1.32,-0.122,1.35,-0.111,0.03,0.011,eiet
16,1.28,-0.12,1.32,-0.1,0.04,0.02,ftlag
17,,,,,0,0,
18,,,,,0,0,
19,,,,,0,0,
20,,,,,0,0,
21,,,,,0,0,
22,,,,,0,0,
23,,,,,0,0,
24,,,,,0,0,
25,,,,,0,0,
26,,,,,0,0,
