b,c,v,p
1,1,1,bracit bra aleim at ecmim fat ears
1,1,2,fears eite tef fbef fhck ol pni tefm frfh aleim mrhpt ol pni emim
1,1,3,fiamr aleim iei afr fiei afr
1,1,4,fira aleim at eafr ki jfb fibdl aleim bin eafr fbin ehck
1,1,5,fiqra aleim lafr ifm flhck qra lile fiei orb fiei bqr ifm ahd
1,1,6,fiamr aleim iei rqio btfk emim fiei mbdil bin mim lmim
1,1,7,fioc aleim at erqio fibdl bin emim acr mtht lrqio fbin emim acr mol lrqio fiei kn
1,1,8,fiqra aleim lrqio cmim fiei orb fiei bqr ifm cni
1,1,9,fiamr aleim iqff emim mtht ecmim al mqfm ahd ftrae eibce fiei kn
1,1,10,fiqra aleim libce ars flmqfe emim qra imim fira aleim ki jfb
1,1,11,fiamr aleim tdca ears dca ocb mzrio zro os pri oce pri lminf acr zrof bf ol ears fiei kn
1,1,12,ftfsa ears dca ocb mzrio zro lminef fos oce pri acr zrof bf lminef fira aleim ki jfb
1,1,13,fiei orb fiei bqr ifm clici
1,1,14,fiamr aleim iei mart brqio ecmim lebdil bin eifm fbin elile feif latt flmfodim flimim fcnim
1,1,15,feif lmafrt brqio ecmim leair ol ears fiei kn
1,1,16,fioc aleim at cni emart egdlim at emafr egdl lmmclt eifm fat emafr eqjn lmmclt elile fat ekfkbim
1,1,17,fitn atm aleim brqio ecmim leair ol ears
1,1,18,flmcl bifm fblile flebdil bin eafr fbin ehck fira aleim ki jfb
1,1,19,fiei orb fiei bqr ifm rbioi
1,1,20,fiamr aleim icrsf emim crs npc hie fofp iofpp ol ears ol pni rqio ecmim
1,1,21,fibra aleim at etninm egdlim fat kl npc ehie ermct acr crsf emim lminem fat kl ofp knp lminef fira aleim ki jfb
1,1,22,fibrk atm aleim lamr prf frbf fmlaf at emim bimim feofp irb bars
1,1,23,fiei orb fiei bqr ifm hmici
1,1,24,fiamr aleim tfsa ears npc hie lmine beme frmc fhitf ars lmine fiei kn
1,1,25,fioc aleim at hit ears lmine fat ebeme lmine fat kl rmc eadme lminef fira aleim ki jfb
1,1,26,fiamr aleim noce adm bslmnf kdmftnf firdf bdgt eim fbofp ecmim fbbeme fbkl ears fbkl ermc ermc ol ears
1,1,27,fibra aleim at eadm bslmf bslm aleim bra atf zkr fnqbe bra atm
1,1,28,fibrk atm aleim fiamr lem aleim prf frbf fmlaf at ears fkbce frdf bdgt eim fbofp ecmim fbkl hie ermct ol ears
1,1,29,fiamr aleim ene ntti lkm at kl ocb zro zro acr ol pni kl ears fat kl eos acr bf pri os zro zro lkm ieie lakle
1,1,30,flkl hit ears flkl ofp ecmim flkl rfmc ol ears acr bf npc hie at kl irq ocb lakle fiei kn
1,1,31,fira aleim at kl acr oce fene jfb mad fiei orb fiei bqr ifm ecci
1,2,1,fiklf ecmim fears fkl sbam
