p,t
ears,the~ LAND
fat,and~ AT
ecmim,the~ SKY ~s2
at,AT
aleim,Elohiym
bra,he~ did~ SHAPE(Verb)
bracit,in~ ORIGIN
emim,the~ WATER ~s2
pni,FACE ~s
ol,UPON
mrhpt,much~ FLUTTER(Verb) ~ing(fs)
frfh,and~ WIND
tefm,DEEP.WATER
fhck,and~ DARKNESS
fbef,and~ UNFILLED
tef,CONFUSION
eite,she~ did~ EXIST(Verb)
fears,and~ the~ LAND
afr,LIGHT
fiei,and~ he~ will~ EXIST(Verb)
iei,he~ will~ EXIST(Verb)
fiamr,and~ he~ will~ SAY(Verb)
ehck,the~ DARKNESS
fbin,and~ BETWEEN
eafr,the~ LIGHT
bin,BETWEEN
fibdl,and~ he~ will~ make~ SEPARATE(Verb)
jfb,FUNCTIONAL
ki,GIVEN.THAT
fira,and~ he~ will~ SEE(Verb)
ahd,UNIT
ifm,DAY
bqr,MORNING
orb,EVENING
lile,NIGHT
qra,he~ did~ CALL.OUT(Verb)
flhck,and~ to~ DARKNESS
lafr,to~ LIGHT
fiqra,and~ he~ will~ CALL.OUT(Verb)
lmim,to~ WATER ~s2
mim,WATER ~s2
mbdil,make~ SEPARATE(Verb) ~ing(ms)
btfk,in~ MIDST
rqio,SHEET
kn,SO
lrqio,to~ SHEET
mol,from~ UPON
acr,WHICH
mtht,from~ UNDER
erqio,the~ SHEET
fioc,and~ he~ will~ DO(Verb)
cni,SECOND
cmim,SKY ~s2
eibce,the~ DRY.GROUND
ftrae,and~ she~ be~ SEE(Verb)
mqfm,AREA
al,TO
iqff,he~ will~ be~ BOUND.UP(Verb)
imim,SEA ~s
flmqfe,and~ to~ COLLECTION
ars,LAND
libce,to~ DRY.GROUND
bf,in~ ~him
zrof,SEED ~him
lminf,to~ KIND ~him
pri,PRODUCE
oce,DO(Verb) ~ing(ms)
os,TREE
zro,SEED
mzrio,make~ SOW(Verb) ~ing(ms)
ocb,HERB
dca,GRASS
tdca,she~ will~ make~ SPROUT(Verb)
lminef,to~ KIND ~him
fos,and~ TREE
ftfsa,and~ she~ will~ make~ GO.OUT(Verb)
clici,THIRD
fcnim,and~ YEAR ~s
flimim,and~ to~ DAY ~s
flmfodim,and~ to~ APPOINTED ~s
latt,to~ SIGN ~s
feif,and~ they~ did~ EXIST(Verb)
elile,the~ NIGHT
eifm,the~ DAY
lebdil,to~ >~ make~ SEPARATE(Verb)
brqio,in~ SHEET
mart,LUMINARY ~s
leair,to~ >~ make~ LIGHT(Verb)
lmafrt,to~ LUMINARY ~s
ekfkbim,the~ STAR ~s
lmmclt,to~ REGULATION
eqjn,the~ SMALL
emafr,the~ LUMINARY
egdl,the~ GREAT
egdlim,the~ GREAT ~s
emart,the~ LUMINARY ~s
atm,AT ~them(m)
fitn,and~ he~ will~ GIVE(Verb)
flebdil,and~ to~ >~ make~ SEPARATE(Verb)
fblile,and~ in~ NIGHT
bifm,in~ the~ DAY
flmcl,and~ to~ >~ REGULATE(Verb)
rbioi,FOURTH
iofpp,he~ will~ much~ FLY(Verb)
fofp,and~ FLYER
hie,LIVING
npc,SOUL
crs,SWARMER
icrsf,they(m)~ will~ SWARM(Verb)
knp,WING
ofp,FLYER
kl,ALL
lminem,to~ KIND ~them(m)
crsf,they(m)~ did~ SWARM(Verb)
ermct,the~ TREAD(Verb) ~ing(fs)
ehie,the~ LIVING
etninm,the~ CROCODILE ~s
fibra,and~ he~ will~ SHAPE(Verb)
bars,in~ the~ LAND
irb,he~ did~ INCREASE(Verb)
feofp,and~ the~ FLYER
bimim,in~ the~ SEA ~s
fmlaf,and~ !(mp)~ FILL(Verb)
frbf,and~ !(mp)~ INCREASE(Verb)
prf,!(mp)~ REPRODUCE(Verb)
lamr,to~ >~ SAY(Verb)
fibrk,and~ he~ will~ much~ KNEEL(Verb)
hmici,FIFTH
lmine,to~ KIND ~her
fhitf,and~ LIVING ~him
frmc,and~ TREADER
beme,BEAST
tfsa,she~ will~ make~ GO.OUT(Verb)
eadme,the~ GROUND
rmc,TREADER
ebeme,the~ BEAST
hit,LIVING
ermc,the~ TREAD(Verb) ~ing(ms)
fbkl,and~ in~ ALL
fbbeme,and~ in~ the~ BEAST
fbofp,and~ in~ FLYER
eim,the~ SEA
bdgt,in~ FISH
firdf,and~ he~ did~ RULE(Verb)
kdmftnf,like~ LIKENESS ~us
bslmnf,in~ IMAGE ~us
adm,HUMAN
noce,we~ will~ DO(Verb)
fnqbe,and~ FEMALE
zkr,MALE
atf,AT ~him
bslm,in~ IMAGE
bslmf,in~ IMAGE ~him
eadm,the~ HUMAN
frdf,and~ !(mp)~ RULE(Verb)
fkbce,and~ !(mp)~ SUBDUE(Verb) ~her
lem,to~ ~them(m)
lakle,to~ FOOD
ieie,he~ will~ EXIST(Verb)
lkm,to~ ~you(mp)
eos,the~ TREE
ntti,I~ did~ GIVE(Verb)
ene,LOOK
irq,GREEN
rfmc,TREAD(Verb) ~ing(ms)
flkl,and~ to~ ALL
ecci,the~ SIXTH
mad,MANY
fene,and~ LOOK
sbam,ARMY ~them(m)
fkl,and~ ALL
fiklf,and~ they(m)~ will~ be~ FINISH(Verb)
mlaktf,BUSINESS ~him
mkl,from~ ALL
ecbioi,the~ SEVENTH
ficbt,and~ he~ will~ CEASE(Verb)
fikl,and~ he~ will~ much~ FINISH(Verb)
locft,to~ >~ DO(Verb)
cbt,he~ did~ CEASE(Verb)
fiqdc,and~ he~ will~ much~ SET.APART(Verb)
fcmim,and~ SKY ~s2
iefe,YHWH
ocft,>~ DO(Verb)
bebram,in~ >~ be~ SHAPE(Verb) ~them(m)
tfldft,BIRTHING ~s
ale,THESE
lobd,to~ >~ SERVE(Verb)
ain,WITHOUT
fadm,and~ HUMAN
emjir,he~ did~ make~ PRECIPITATE(Verb)
la,NOT
ismh,he~ will~ SPRING.UP(Verb)
jrm,BEFORE
ecde,the~ FIELD
cih,SHRUB
fecqe,and~ he~ did~ make~ DRINK(Verb)
mn,FROM
iole,he~ will~ GO.UP(Verb)
fad,and~ MIST
lnpc,to~ SOUL
hiim,LIVING ~s
ncmt,BREATH
bapif,in~ NOSE ~s2 ~him
fiph,and~ he~ will~ EXHALE(Verb)
opr,DIRT
fiisr,and~ he~ will~ MOLD(Verb)
isr,he~ did~ MOLD(Verb)
cm,THERE
ficm,and~ he~ will~ PLACE(Verb)
mqdm,from~ EAST
bodn,in~ Eden
gn,GARDEN
fijo,and~ he~ will~ PLANT(Verb)
fro,and~ DYSFUNCTIONAL
edot,the~ DISCERNMENT
egn,the~ GARDEN
ehiim,the~ LIVING ~s
lmakl,to~ NOURISHMENT
fjfb,and~ FUNCTIONAL
lmrae,to~ APPEARANCE
nhmd,12 be~ CRAVE(Verb) ~ing(ms)
fismh,and~ he~ will~ make~ SPRING.UP(Verb)
racim,HEAD ~s
larboe,to~ FOUR
feie,and~ he~ did~ EXIST(Verb)
iprd,he~ will~ be~ DIVIDE.APART(Verb)
fmcm,and~ from~ THERE
lecqft,to~ >~ make~ DRINK(Verb)
modn,from~ Eden
isa,GO.OUT(Verb) ~ing(ms)
fner,and~ RIVER
ezeb,the~ GOLD
ehfile,the~ Hhawilah
exbb,the~ GO.AROUND(Verb) ~ing(ms)
efa,HE
picfn,Pishon
eahd,the~ UNIT
ecem,the~ ONYX
fabn,and~ STONE
ebdlh,the~ AMBER
eefa,the~ SHE
fzeb,and~ GOLD
kfc,Kush
exfbb,the~ GO.AROUND(Verb) ~ing(ms)
gihfn,Giyhhon
ecni,the~ SECOND
ener,the~ RIVER
fcm,and~ TITLE
prt,Perat
erbioi,the~ FOURTH
fener,and~ the~ RIVER
acfr,Ashur
qdmt,EASTWARD
eelk,the~ WALK(Verb) ~ing(ms)
hdql,Hhideqel
eclici,the~ THIRD
flcmre,and~ to~ >~ SAFEGUARD(Verb) ~her
lobde,to~ >~ SERVE(Verb) ~her
odn,Eden
bgn,in~ GARDEN
finhef,and~ he~ will~ make~ DEPOSIT(Verb) ~him
fiqh,and~ he~ will~ TAKE(Verb)
takl,you(ms)~ will~ EAT(Verb)
akl,>~ EAT(Verb)
fisf,and~ he~ will~ much~ DIRECT(Verb)
tmft,you(ms)~ will~ DIE(Verb)
mft,>~ DIE(Verb)
mmnf,FROM ~him
aklk,you(ms)~ >~ EAT(Verb)
fmos,and~ from~ TREE
kngdf,13 like~ OPPOSITE ~him
ozr,HELP
lf,to~ ~him
aoce,I~ will~ DO(Verb)
lbdf,to~ STRAND ~him
eift,>~ EXIST(Verb)
cmf,TITLE ~him
iqra,he~ will~ CALL.OUT(Verb)
me,WHAT
lraft,to~ >~ SEE(Verb)
fiba,and~ he~ will~ make~ COME(Verb)
fisr,and~ he~ will~ MOLD(Verb)
msa,he~ did~ FIND(Verb)
fladm,and~ to~ HUMAN
flofp,and~ to~ FLYER
lkl,to~ ALL
cmft,TITLE ~s
thtne,UNDER ~her
bcr,FLESH
fixgr,and~ he~ will~ SHUT(Verb)
mslotif,from~ RIB ~s ~him
aht,UNIT
fiicn,and~ he~ will~ SLEEP(Verb)
trdme,TRANCE
fipl,and~ he~ will~ make~ FALL(Verb)
fibae,and~ he~ will~ make~ COME(Verb) ~her
lace,to~ WOMAN
lqh,he~ did~ TAKE(Verb)
eslo,the~ RIB
fibn,and~ he~ will~ BUILD(Verb)
zat,16 THIS
lqhe,be~ TAKE(Verb) ~ed(fs)
maic,from~ MAN
ace,WOMAN
lzat,to~ THIS
mbcri,from~ FLESH ~me
fbcr,and~ FLESH
mosmi,from~ BONE ~s ~me
osm,BONE
epom,the~ FOOTSTEP
lbcr,to~ FLESH
bactf,in~ WOMAN ~him
fdbq,and~ he~ did~ ADHERE(Verb)
amf,MOTHER ~him
abif,FATHER ~him
aic,MAN
iozb,he~ will~ LEAVE(Verb)
itbccf,they(m)~ will~ self~ BE.ASHAMED(Verb)
fla,and~ NOT
factf,and~ WOMAN ~him
orfmim,NUDE ~s
cniem,TWO ~them(m)
fieif,and~ they(m)~ will~ EXIST(Verb)
taklf,you(mp)~ will~ EAT(Verb)
amr,17 he~ did~ SAY(Verb)
ap,MOREOVER
eace,the~ WOMAN
orfm,SUBTLE
eie,he~ did~ EXIST(Verb)
fenhc,and~ the~ SERPENT
nakl,we~ will~ EAT(Verb)
mpri,from~ PRODUCE
enhc,the~ SERPENT
ftamr,and~ she~ will~ SAY(Verb)
tmtfn,you(mp)~ will~ DIE(Verb) ~must
pn,OTHERWISE
tgof,you(mp)~ will~ TOUCH(Verb)
fmpri,and~ from~ PRODUCE
idoi,KNOW(Verb) ~ing(mp)
kaleim,like~ Elohiym
feiitm,and~ you(mp)~ did~ EXIST(Verb)
oinikm,EYE ~s2 ~you(mp)
fnpqhf,and~ they(f)~ did~ be~ OPEN.UP(Verb)
aklkm,>~ EAT(Verb) ~you(mp)
ido,KNOW(Verb) ~ing(ms)
fiakl,and~ he~ will~ EAT(Verb)
ome,WITH ~her
laice,to~ MAN ~her
gm,ALSO
fttn,and~ she~ will~ GIVE(Verb)
ftakl,and~ she~ will~ EAT(Verb)
mprif,from~ PRODUCE ~him
ftqh,and~ she~ will~ TAKE(Verb)
leckil,to~ >~ make~ CALCULATE(Verb)
fnhmd,and~ be~ CRAVE(Verb) ~ing(ms)
loinim,to~ the~ EYE ~s2
tafe,YEARNING
fki,and~ GIVEN.THAT
ftra,and~ she~ will~ SEE(Verb)
hgrt,LOIN.WRAP ~s
fiocf,and~ they(m)~ will~ DO(Verb)
tane,FIG
ole,LEAF
fitprf,and~ they(m)~ will~ SEW.TOGETHER(Verb)
em,THEY(m)
oirmm,NAKED ~s
fidof,and~ they(m)~ will~ KNOW(Verb)
oini,EYE ~s2
ftpqhne,and~ they(f)~ will~ be~ OPEN.UP(Verb)
mpni,from~ FACE ~s
fithba,and~ he~ will~ self~ WITHDRAW(Verb)
lrfh,to~ WIND
mtelk,self~ WALK(Verb) ~ing(ms)
qfl,VOICE
ficmof,and~ they(m)~ will~ HEAR(Verb)
aike,WHERE ~you(ms)
fahba,and~ I~ will~ WITHDRAW(Verb)
anki,I
oirm,NAKED
faira,and~ I~ will~ FEAR(Verb)
cmoti,I~ did~ HEAR(Verb)
qlk,VOICE ~you(ms)
aklt,you(ms)~ will~ EAT(Verb)
lblti,to~ EXCEPT
sfitik,I~ did~ much~ DIRECT(Verb) ~you(ms)
emn,?~ FROM
ate,YOU(MS)
lk,to~ ~you(ms)
egid,he~ did~ make~ BE.FACE.TO.FACE(Verb)
mi,WHO
fakl,and~ I~ will~ EAT(Verb)
li,to~ ~me
ntne,she~ did~ GIVE(Verb)
omdi,BY ~me
ntte,you(ms)~ did~ GIVE(Verb)
eciani,he~ did~ make~ DECEIVE(Verb) ~me
ocit,you(fs)~ did~ DO(Verb)
hiik,LIVING ~s ~you(ms)
imi,DAY ~s
fopr,and~ DIRT
tlk,you(ms)~ will~ WALK(Verb)
ghnk,BELLY ~you(ms)
fmkl,and~ from~ ALL
arfr,SPIT.UPON(Verb) ~ed(ms)
oqb,HEEL
tcfpnf,you(ms)~ will~ FALL.UPON(Verb) ~him
fate,20 and~ YOU(MS)
rac,HEAD
icfpk,he~ will~ FALL.UPON(Verb) ~you(ms)
zroe,SEED ~her
zrok,SEED ~you(ms)
bink,BETWEEN ~you(ms)
acit,I~ will~ SET.DOWN(Verb)
faibe,and~ HOSTILITY
bk,in~ ~you(fs)
imcl,he~ will~ REGULATE(Verb)
fefa,and~ HE
tcfqtk,FOLLOWING ~you(fs)
aick,MAN ~you(fs)
fal,22 and~ TO
bnim,SON ~s
tldi,you(fs)~ will~ BRING.FORTH(Verb)
bosb,in~ DISTRESSING.PAIN
fernk,and~ PREGNANCY ~you(fs)
osbfnk,HARDSHIP ~you(fs)
arbe,I~ will~ make~ INCREASE(Verb)
erbe,>~ make~ INCREASE(Verb)
taklne,you(ms)~ will~ EAT(Verb) ~her
bosbfn,in~ HARDSHIP ~you(ms)
bobfrk,in~ the~ CROSS.OVER(Verb) ~ed(ms) ~you(ms)
arfre,SPIT.UPON(Verb) ~ed(ms)
actk,WOMAN ~you(ms)
lqfl,23 to~ VOICE
cmot,you(ms)~ did~ HEAR(Verb)
faklt,and~ you(ms)~ did~ EAT(Verb)
tsmih,she~ will~ make~ SPRING.UP(Verb)
fdrdr,and~ THISTLE
fqfs,and~ BRAMBLE
tcfb,you(ms)~ will~ TURN.BACK(Verb)
lqht,you(ms)~ did~ be~ TAKE(Verb)
mmne,FROM ~her
cfbk,>~ TURN.BACK(Verb) ~you(ms)
od,UNTIL
lhm,BREAD
apik,NOSE ~s ~you(ms)
bzot,in~ SWEAT
hi,LIVING
am,25 MOTHER
hfe,Hhawah
actf,WOMAN ~him
filbcm,and~ he~ will~ make~ WEAR(Verb) ~them(m)
ofr,SKIN
ktnft,TUNIC ~s
flactf,and~ to~ WOMAN ~him
ladm,to~ HUMAN
lolm,to~ DISTANT
fhi,and~ he~ did~ LIVE(Verb)
mos,from~ TREE
flqh,and~ he~ did~ TAKE(Verb)
idf,HAND ~him
iclh,he~ will~ SEND(Verb)
fote,and~ NOW
ldot,26 to~ >~ KNOW(Verb)
kahd,like~ UNIT
en,THOUGH
